Date;Repo Rate
01/31/23;7
01/30/23;7
01/27/23;7
01/26/23;7
01/25/23;7
01/24/23;7
01/23/23;7
01/20/23;7
01/19/23;7
01/18/23;7
01/17/23;7
01/16/23;7
01/13/23;7
01/12/23;7
01/11/23;7
01/10/23;7
01/09/23;7
01/06/23;7
01/05/23;7
01/04/23;7
01/03/23;7
01/02/23;7
12/30/22;7
12/29/22;7
12/28/22;7
12/27/22;7
12/23/22;7
12/22/22;7
12/21/22;7
12/20/22;7
12/19/22;7
12/16/22;7
12/15/22;7
12/14/22;7
12/13/22;7
12/12/22;7
12/09/22;7
12/08/22;7
12/07/22;7
12/06/22;7
12/05/22;7
12/02/22;7
12/01/22;7
11/30/22;7
11/29/22;7
11/28/22;7
11/25/22;7
11/24/22;7
11/23/22;7
11/22/22;7
11/21/22;7
11/18/22;7
11/16/22;7
11/15/22;7
11/14/22;7
11/11/22;7
11/10/22;7
11/09/22;7
11/08/22;7
11/07/22;7
11/04/22;7
11/03/22;7
11/02/22;7
11/01/22;7
10/31/22;7
10/27/22;7
10/26/22;7
10/25/22;7
10/24/22;7
10/21/22;7
10/20/22;7
10/19/22;7
10/18/22;7
10/17/22;7
10/14/22;7
10/13/22;7
10/12/22;7
10/11/22;7
10/10/22;7
10/07/22;7
10/06/22;7
10/05/22;7
10/04/22;7
10/03/22;7
09/30/22;7
09/29/22;7
09/27/22;7
09/26/22;7
09/23/22;7
09/22/22;7
09/21/22;7
09/20/22;7
09/19/22;7
09/16/22;7
09/15/22;7
09/14/22;7
09/13/22;7
09/12/22;7
09/09/22;7
09/08/22;7
09/07/22;7
09/06/22;7
09/05/22;7
09/02/22;7
09/01/22;7
08/31/22;7
08/30/22;7
08/29/22;7
08/26/22;7
08/25/22;7
08/24/22;7
08/23/22;7
08/22/22;7
08/19/22;7
08/18/22;7
08/17/22;7
08/16/22;7
08/15/22;7
08/12/22;7
08/11/22;7
08/10/22;7
08/09/22;7
08/08/22;7
08/05/22;7
08/04/22;7
08/03/22;7
08/02/22;7
08/01/22;7
07/29/22;7
07/28/22;7
07/27/22;7
07/26/22;7
07/25/22;7
07/22/22;7
07/21/22;7
07/20/22;7
07/19/22;7
07/18/22;7
07/15/22;7
07/14/22;7
07/13/22;7
07/12/22;7
07/11/22;7
07/08/22;7
07/07/22;7
07/04/22;7
07/01/22;7
06/30/22;7
06/29/22;7
06/28/22;7
06/27/22;7
06/24/22;7
06/23/22;7
06/22/22;5.75
06/21/22;5.75
06/20/22;5.75
06/17/22;5.75
06/16/22;5.75
06/15/22;5.75
06/14/22;5.75
06/13/22;5.75
06/10/22;5.75
06/09/22;5.75
06/08/22;5.75
06/07/22;5.75
06/06/22;5.75
06/03/22;5.75
06/02/22;5.75
06/01/22;5.75
05/31/22;5.75
05/30/22;5.75
05/27/22;5.75
05/26/22;5.75
05/25/22;5.75
05/24/22;5.75
05/23/22;5.75
05/20/22;5.75
05/19/22;5.75
05/18/22;5.75
05/17/22;5.75
05/16/22;5.75
05/13/22;5.75
05/12/22;5.75
05/11/22;5.75
05/10/22;5.75
05/09/22;5.75
05/06/22;5.75
05/05/22;5
05/04/22;5
05/03/22;5
05/02/22;5
04/29/22;5
04/28/22;5
04/27/22;5
04/26/22;5
04/25/22;5
04/22/22;5
04/21/22;5
04/20/22;5
04/19/22;5
04/14/22;5
04/13/22;5
04/12/22;5
04/11/22;5
04/08/22;5
04/07/22;5
04/06/22;5
04/05/22;5
04/04/22;5
04/01/22;5
03/31/22;4.5
03/30/22;4.5
03/29/22;4.5
03/28/22;4.5
03/25/22;4.5
03/24/22;4.5
03/23/22;4.5
03/22/22;4.5
03/21/22;4.5
03/18/22;4.5
03/17/22;4.5
03/16/22;4.5
03/15/22;4.5
03/14/22;4.5
03/11/22;4.5
03/10/22;4.5
03/09/22;4.5
03/08/22;4.5
03/07/22;4.5
03/04/22;4.5
03/03/22;4.5
03/02/22;4.5
03/01/22;4.5
02/28/22;4.5
02/25/22;4.5
02/24/22;4.5
02/23/22;4.5
02/22/22;4.5
02/21/22;4.5
02/18/22;4.5
02/17/22;4.5
02/16/22;4.5
02/15/22;4.5
02/14/22;4.5
02/11/22;4.5
02/10/22;4.5
02/09/22;4.5
02/08/22;4.5
02/07/22;4.5
02/04/22;4.5
02/03/22;3.75
02/02/22;3.75
02/01/22;3.75
01/31/22;3.75
01/28/22;3.75
01/27/22;3.75
01/26/22;3.75
01/25/22;3.75
01/24/22;3.75
01/21/22;3.75
01/20/22;3.75
01/19/22;3.75
01/18/22;3.75
01/17/22;3.75
01/14/22;3.75
01/13/22;3.75
01/12/22;3.75
01/11/22;3.75
01/10/22;3.75
01/07/22;3.75
